Datum,Start,Einde,Plaats,Omschrijving,Issue #,Opmerkingen
13/02/24,13:30,14:00,Contacturen,Uitlegsessie VOP,,
13/02/24,14:00,15:30,Contacturen,Voorbereiden gesprek klant,,
13/02/24,15:30,16:30,Contacturen,Gesprek klant,,
14/02/24,13:00,16:00,Contacturen,Scrum + Backlog opstellen + mail sturen naar klant + afspraken,,
18/02/24,18:00,19:00,Extern,opzoeken react + three.js,21,
19/02/24,16:00,17:00,Contacturen,Verslag info Pollefliet,,
20/02/24,13:30,16:30,Contacturen,Use case diagram + gegevens furnify bekijken,15,
21/02/24,13:00,16:00,Contacturen,verdeling werk + start programmeren + leren react,21,
21/02/24,19:30,22:00,Extern,leren react + test project,21,
24/02/24,10:00,12:00,Extern,leren react + 3D start met aanpasbare vloer in 3d,21 en 7,
24/02/24,17:00,19:00,Extern,leren react + 3D start met aanpasbare vloer in 3d,21 en 7,
27/02/24,13:30,16:30,Contacturen,3D kamer ontwikkelen,27,
28/02/24,13:00,16:00,Contacturen,3D kamer ontwikkelen,27,
03/03/24,17:00,19:00,Extern,Verslag setup + omgeving 3D kamer,27 en 47,
04/03/24,17:30,19:30,Extern,Verslag inleiding,47,
04/03/24,20:00,21:00,Extern,omgeving 3D kamer(nieuwe vloer en lucht),27,
05/03/24,9:00,12:00,Extern,setup up i18next,57,
05/03/24,13:00,15:00,Contacturen,presenteren,,
05/03/24,15:15,17:15,Contacturen,opzoeken deployen + cicd + i18n,57,
05/03/24,18:45,20:10,Extern,afwerken i18n,57,
06/03/24,13:00,16:00,Contacturen,mergen en debuggen + update state diagram,63 en 64,
09/03/24,09:45,12:00,Opendeurdag,verder mergen + verslag + poging deployen,44 en 47 en 45,
10/03/24,09:15,11:00,Extern,verslag + opzoeken deployen,47 en 45,
10/03/24,13:30,16:00,Extern,deployen (niet gelukt wegens fout nginx en apache),45,
11/03/24,16:30,19:00,Extern,afwerken verslag + powerpoint,47 en 60,
11/03/24,20:00,22:30,Extern,finale aanpassingen verslag en uploaden/mailen met de groep,47,
12/03/24,13:30,16:30,Contacturen,eindelijk kunnen deployen en presentatie voor klant,60 en 45,
13/03/24,13:00,16:00,Contacturen,bugfixes + issues + helpen met css/bootstrap fix + opzoeken collisionfysics,90,
17/03/24,13:00,14:00,Extern,opzoeken collisionfysics en uittesten,90,
19/03/24,13:30,15:00,Contacturen,opzoeken collisionfysics en uittesten,90,
20/03/24,13:00,15:15,Contacturen,Uitleg GDPR + opzoeken collisionfysics en uittesten,90,
24/03/24,13:00,14:00,Extern,tussentijdse presentatie,,
24/03/24,14:00,16:00,Extern,draggable + gridsysteem (snappen in grid),95,
26/03/24,13:30,17:30,Contacturen,tussentijdse presentatie Pollefliet + dragging,95,
27/03/24,13:00,16:00,Contacturen,dragging,95,
04/04/24,09:00,12:00,Extern,perfecting and finishing dragging,95,
04/04/24,14:00,19:30,Extern,dragging model within boundaries,107,
10/04/24,18:00,21:20,Extern,adding resizable windows,106,
11/04/24,10:00,12:00,Extern,perfecting windows and window positioning,106,
11/04/24,13:00,18:00,Extern,multiple windows on a wall,106,
11/04/24,19:00,20:30,Extern,different windows per wall and make them easy to insert (update obstruction form needed),106,
13/04/24,10:00,12:30,Extern,link 3d with window,145,
13/04/24,13:30,15:00,Extern,link 3d with window and add door,145,
13/04/24,15:00,16:30,Extern,link 3d with window and add door,145,
13/04/24,17:00,19:00,Extern,link 3d with other type of obstruction and make them draggable + lock orbitcontrols,108 en 109,
14/04/24,9:30,12:00,Extern,nieuwe README adhv automatische generator blueprint.md,139,
14/04/24,14:30,16:00,Extern,aanpassingen README + verslag hoofdstuk 5 + merge problemen,139 en 105,
14/04/24,17:30,18:30,Extern,verslag hoofdstuk 5,105,
15/04/24,16:30,17:00,Extern,laatste details readme en verslag,139 en 105,
16/04/24,13:30,16:30,Contacturen,debuggen objecten nooit buiten grenzen,149,
17/04/24,13:00,16:00,Contacturen,presentatie klant + render glitch fix (niet gelukt),157,
22/04/24,18:00,19:30,Extern,render glitch fix,157,
23/04/24,13:30,16:30,Contacturen,overleggen algoritme + feedback fundraising + beginnen model aan muur snappen,170 en 166,
24/04/24,13:00,16:00,Contacturen,model aan muur snappen + fix roomdimensions,170,
24/04/24,17:00,18:30,Extern,fix roomdimensions,165,
25/04/24,14:10,17:10,Extern,rotate objects with button,150,
27/04/24,9:00,12:00,Extern,licht functionality,155,
27/04/24,13:30,16:00,Extern,licht schakelaar walloutlet,155 en 154,
28/04/24,10:00,12:00,Extern,afwerken schakelaar walloutlet,154,
28/04/24,13:00,17:00,Extern,fixen skybox en betere rendering met werkende lichten en schaduwen,183,
29/04/24,9:00,11:00,Extern,Css details en loading screen met suspense,185 en 186,
30/04/24,13:30,16:30,Contacturen,Veranderen skybox en kijken voor collisiondetection voor valideerknop,188 en 190,
06/05/24,18:00,19:00,Contacturen,begin 3d deel presentatie,175,
